861316028483 [-1.0544 -2.05247]'  [0.497691 1.04515]'  [0.0723092 0.0148494]'  [0.129269 0.0265465]' 
861317028903 [-1.05385 -2.05148]'  [0.546606 0.993829]'  [0.0233938 0.0661706]'  [0.0418216 0.118294]' 
861318029263 [-1.0534 -2.05058]'  [0.44725 0.8945]'  [0.12275 0.1655]'  [0.219442 0.295867]' 
861319029953 [-1.05291 -2.04969]'  [0.496781 0.894205]'  [0.0732194 0.165795]'  [0.130896 0.296395]' 
861320112573 [-1.05246 -2.0487]'  [0.413267 0.918371]'  [0.156733 0.141629]'  [0.280195 0.253193]' 
861321033942 [-1.05206 -2.0478]'  [0.431639 0.971188]'  [0.138361 0.0888124]'  [0.247351 0.158772]' 
861322028602 [-1.05157 -2.04676]'  [0.499792 1.04956]'  [0.0702077 0.0104362]'  [0.125512 0.018657]' 
861323029082 [-1.05112 -2.04581]'  [0.447196 0.944081]'  [0.122804 0.115919]'  [0.219538 0.20723]' 
861324029592 [-1.05057 -2.04482]'  [0.546557 0.99374]'  [0.023443 0.06626]'  [0.0419095 0.118454]' 
861325028872 [-1.05007 -2.04392]'  [0.497482 0.895467]'  [0.0725184 0.164533]'  [0.129643 0.294139]' 
861326029082 [-1.04958 -2.04298]'  [0.497019 0.944336]'  [0.072981 0.115664]'  [0.130469 0.206774]' 
861327028422 [-1.04898 -2.04198]'  [0.596942 0.994903]'  [-0.0269421 0.0650966]'  [-0.0481648 0.116374]' 
861328028602 [-1.04848 -2.04104]'  [0.497034 0.944364]'  [0.0729661 0.115636]'  [0.130443 0.206724]' 
861329029412 [-1.04799 -2.04]'  [0.496721 1.04311]'  [0.0732789 0.0168858]'  [0.131002 0.030187]' 
861330112632 [-1.04739 -2.0389]'  [0.550717 1.00965]'  [0.0192826 0.0503515]'  [0.0344719 0.0900142]' 
861331033611 [-1.04694 -2.03801]'  [0.485799 0.971599]'  [0.0842006 0.0884012]'  [0.150527 0.158036]' 
861332029501 [-1.04649 -2.03716]'  [0.449258 0.848598]'  [0.120742 0.211402]'  [0.215854 0.377928]' 
861333029021 [-1.046 -2.03622]'  [0.497362 0.944988]'  [0.0726379 0.115012]'  [0.129856 0.205609]' 
861334028481 [-1.0455 -2.03527]'  [0.497392 0.945045]'  [0.072608 0.114955]'  [0.129803 0.205508]' 
861335029201 [-1.045 -2.03423]'  [0.496766 1.04321]'  [0.0732343 0.016792]'  [0.130922 0.0300193]' 
861336029021 [-1.04456 -2.03323]'  [0.447492 0.994426]'  [0.122508 0.0655742]'  [0.219011 0.117228]' 
861337028841 [-1.04406 -2.03224]'  [0.497213 0.994426]'  [0.0727871 0.0655742]'  [0.130123 0.117228]' 
861338028931 [-1.04361 -2.0313]'  [0.447371 0.944449]'  [0.122629 0.115551]'  [0.219226 0.206572]' 
861339028871 [-1.04316 -2.03035]'  [0.447438 0.944591]'  [0.122562 0.115409]'  [0.219107 0.206319]' 
861340113021 [-1.04262 -2.02931]'  [0.504391 0.962929]'  [0.0656088 0.0970713]'  [0.11729 0.173536]' 
861341032920 [-1.04217 -2.02841]'  [0.48637 0.97274]'  [0.0836302 0.0872605]'  [0.149507 0.155997]' 
861342028810 [-1.04167 -2.02737]'  [0.499175 1.04827]'  [0.070825 0.0117325]'  [0.126615 0.0209744]' 
861343029230 [-1.04122 -2.02637]'  [0.447223 0.993829]'  [0.122777 0.0661706]'  [0.21949 0.118294]' 
861344028300 [-1.04078 -2.02538]'  [0.447828 0.995172]'  [0.122172 0.0648277]'  [0.21841 0.115894]' 
861345028930 [-1.04028 -2.02454]'  [0.49681 0.844578]'  [0.0731896 0.215422]'  [0.130842 0.385114]' 
861346029050 [-1.03983 -2.02359]'  [0.447357 0.944421]'  [0.122643 0.115579]'  [0.21925 0.206622]' 
861347028840 [-1.03939 -2.0226]'  [0.447505 0.994456]'  [0.122495 0.0655444]'  [0.218987 0.117175]' 
861348028900 [-1.03889 -2.0216]'  [0.497094 0.994187]'  [0.0729064 0.0658128]'  [0.130336 0.117655]' 
861349029410 [-1.03839 -2.02061]'  [0.49687 0.99374]'  [0.07313 0.06626]'  [0.130736 0.118454]' 
861350112510 [-1.03779 -2.01956]'  [0.550778 0.963862]'  [0.0192216 0.0961378]'  [0.0343628 0.171867]' 
861351033129 [-1.03735 -2.01867]'  [0.485989 0.971979]'  [0.0840106 0.0880212]'  [0.150187 0.157357]' 
861352028569 [-1.03685 -2.01777]'  [0.499401 0.898921]'  [0.0705993 0.161079]'  [0.126212 0.287964]' 
861353028869 [-1.03625 -2.01678]'  [0.596369 0.993949]'  [-0.0263692 0.0660514]'  [-0.0471407 0.118081]' 
861354028119 [-1.03576 -2.01579]'  [0.497497 0.994993]'  [0.0725035 0.0650069]'  [0.129616 0.116214]' 
861355028509 [-1.03526 -2.01474]'  [0.49693 1.04355]'  [0.0730704 0.0164478]'  [0.130629 0.0294041]' 
861356029259 [-1.03471 -2.01375]'  [0.546426 0.993502]'  [0.0235741 0.0664983]'  [0.0421438 0.11888]' 
861357029139 [-1.03427 -2.01275]'  [0.447465 0.994366]'  [0.122535 0.0656339]'  [0.219059 0.117335]' 
861358028179 [-1.03377 -2.01191]'  [0.497601 0.845922]'  [0.0723989 0.214078]'  [0.129429 0.382711]' 
861359028899 [-1.03327 -2.01091]'  [0.496766 0.993531]'  [0.0732343 0.0664685]'  [0.130922 0.118827]' 
861360113019 [-1.03277 -2.00987]'  [0.45855 0.962955]'  [0.11145 0.0970447]'  [0.199241 0.173489]' 
861361033338 [-1.03228 -2.00893]'  [0.540164 1.02631]'  [0.0298358 0.033688]'  [0.053338 0.0602246]' 
861362028868 [-1.03178 -2.00793]'  [0.499356 0.998711]'  [0.0706445 0.061289]'  [0.126292 0.109567]' 
861363029768 [-1.03128 -2.00694]'  [0.496676 0.993353]'  [0.0733236 0.0666472]'  [0.131082 0.119146]' 
861364029258 [-1.03079 -2.00594]'  [0.497377 0.994754]'  [0.0726229 0.0652459]'  [0.129829 0.116641]' 
861365029348 [-1.03029 -2.00505]'  [0.497079 0.894742]'  [0.0729213 0.165258]'  [0.130363 0.295436]' 
861366028868 [-1.02974 -2.00405]'  [0.547098 0.994724]'  [0.0229016 0.0652757]'  [0.0409417 0.116695]' 
861367029348 [-1.02919 -2.00301]'  [0.546573 1.04346]'  [0.0234266 0.0165417]'  [0.0418802 0.0295719]' 
861368028808 [-1.0287 -2.00192]'  [0.497392 1.09426]'  [0.072608 -0.0342624]'  [0.129803 -0.0612515]' 
861369029438 [-1.0282 -2.00087]'  [0.49681 1.0433]'  [0.0731896 0.0166981]'  [0.130842 0.0298516]' 
861370112808 [-1.0277 -1.99978]'  [0.458868 1.00951]'  [0.111132 0.0504913]'  [0.198673 0.0902642]' 
861371033247 [-1.02726 -1.99898]'  [0.486084 0.86415]'  [0.0839156 0.19585]'  [0.150017 0.350125]' 
861372028807 [-1.02686 -1.99799]'  [0.399472 0.998681]'  [0.170528 0.061319]'  [0.304855 0.109621]' 
861373029557 [-1.02641 -1.99699]'  [0.447076 0.993502]'  [0.122924 0.0664983]'  [0.219754 0.11888]' 
861374028837 [-1.02591 -1.99595]'  [0.497482 1.04471]'  [0.0725184 0.0152887]'  [0.129643 0.0273318]' 
861375029767 [-1.02542 -1.99496]'  [0.496662 0.993323]'  [0.0733385 0.066677]'  [0.131109 0.1192]' 
861376028837 [-1.02492 -1.99401]'  [0.497586 0.945414]'  [0.0724138 0.114586]'  [0.129456 0.204848]' 
861377028807 [-1.02442 -1.99307]'  [0.497138 0.944563]'  [0.0728617 0.115437]'  [0.130256 0.206369]' 
861378029197 [-1.02388 -1.99212]'  [0.546623 0.944166]'  [0.0233774 0.115834]'  [0.0417923 0.207078]' 
861379029077 [-1.02333 -1.99118]'  [0.546901 0.944648]'  [0.0230986 0.115352]'  [0.0412938 0.206217]' 
861380112987 [-1.02278 -1.99008]'  [0.504503 1.00901]'  [0.0654971 0.0509942]'  [0.11709 0.0911633]' 
